bibtexkey,authors,year,entry_type,address,annote,book_title,chapter,crossref,edition,editors,how_published,institution,journal,month,note,number,organization,pages,publisher,school,title,volume,publication_history,series,designation
Thompson1903CT17,"Thompson, R. Campbell",1903,book,,,,,,,,,,,,,17,,,,,"Cuneiform Texts",,,"Cuneiform Texts From Babylonian Tablets In The British Museum","CT 17"
Thompson1904CT18,"Thompson, R. Campbell",1904,book,,,,,,,,,,,,,18,,,,,"Cuneiform Texts",,,"Cuneiform Texts From Babylonian Tablets In The British Museum","CT 18"
Campbell1904CT19,"Thompson, R. Campbell",1904,book,,,,,,,,,,,,,19,,,,,"Cuneiform Texts",,,"Cuneiform Texts from Babylonian Tablets in the British Museum","CT 19"
Thompson1904CT20,"Thompson, R. Campbell",1904,book,,,,,,,,,,,,,20,,,,,"Cuneiform Texts",,,"Cuneiform Texts from Babylonian Tablets in the British Museum","CT 20"
King1905CT21,"King, Leonard W.",1905,book,,,,,,,,,,,,,21,,,,,"Cuneiform Texts",,,"Cuneiform Texts from Babylonian Tablets in the British Museum","CT 21"
Thompson1906CT22,"Thompson, R. Campbell",1906,book,,,,,,,,,,,,,22,,,,,"Cuneiform Texts",,,"Cuneiform Texts from Babylonian Tablets in the British Museum","CT 22, pl."
Thompson1906CT23,"Thompson, R. Campbell",1906,book,,,,,,,,,,,,,23,,,,,"Cuneiform Texts",,,"Cuneiform Texts from Babylonian Tablets in the British Museum","CT 23"
King1909CT25,"King, Leonard W.",1909,book,,,,,,,,,,,,,25,,,,,"Cuneiform Texts",,,"Cuneiform Texts from Babylonian tablets in the British Museum","CT 25"
King1909CT26,"King, Leonard W.",1909,book,,,,,,,,,,,,,26,,,,,"Cuneiform Texts",,,"Cuneiform Texts from Babylonian Tablets in the British Museum","CT 26"
King1901CT27,"King, Leonard W.",1901,book,,,,,,,,,,,,,27,,,,,"Cuneiform Texts",,,"Cuneiform Texts from Babylonian Tablets in the British Museum","CT 27"
